,Unnamed: 0,tconst,id,originalTitle,titreVF,original_language,production_countries,keywords,genres,anneeSortie,release_date,duree,budget,revenue,popularity,noteMoyenne,nbVotes
4,27,tt0052698,34145,Classe tous risques,Danger Ahead,fr,"France, Italy","friends, fugitive, police chase, criminal, french noir","Crime,Drame,Romance,Thriller",1960,1960-03-23,103,0.0,0.0,8.313,7.5,4691
11,67,tt0053279,64414,Le signe du lion,Le signe du lion,fr,France,,Drame,1962,1962-05-03,103,0.0,0.0,5.023,7.2,2433
12,81,tt0053459,31417,Les yeux sans visage,Les yeux sans visage,fr,"France, Italy","experiment, surgeon, film noir, photograph, scientist, transplant, dove, ulcer","Drame,Horreur,Thriller",1960,1960-01-11,90,0.0,58656.0,8.109,7.6,36894
13,82,tt0053472,269,À bout de souffle,À bout de souffle,fr,France,"hotel room, dying and death, newspaper, journalist, friendship, paris, france, fight, loss of loved one, gun, car thief, marseille, france, journalism, smoking, on the run, financial transactions, extramarital affair, french noir, runaway couple, nouvelle vague, fugitive lovers","Crime,Drame",1960,1960-03-16,90,0.0,0.0,16.164,7.7,90507
23,120,tt0053638,50791,Austerlitz,Austerlitz,fr,"France, Italy, Liechtenstein, Yugoslavia",napoleon bonaparte,"Drame,Guerre,Histoire",1960,1960-06-17,122,0.0,0.0,5.309,6.2,1029
28,135,tt0053666,27419,Les bonnes femmes,Les bonnes femmes,fr,"France, Italy","paris, france, tiger, homicide, roommate, night life, zoo, female friendship, stalker, biker, swimming pool, premonition, motorcycle, music hall, new wave, shopgirl, 1960s","Drame,Mystère,Romance",1960,1960-04-22,100,0.0,0.0,5.091,7.2,3274
31,149,tt0053696,56268,Le capitan,Le capitan,fr,France,,"Action,Aventure",1960,1960-10-05,120,0.0,0.0,5.079,6.3,1029
44,210,tt0053802,85620,Et mourir de plaisir,...et mourir de plaisir,fr,"France, Italy","based on novel or book, vampire","Drame,Horreur,Romance",1960,1960-09-14,74,0.0,0.0,4.761,6.5,1517
75,335,tt0054091,83662,Moderato cantabile,Moderato cantabile,fr,"Italy, France","murder, wealthy, witness to murder, literary adaptation","Drame,Romance",1960,1960-05-25,91,0.0,0.0,4.794,6.9,1315
84,366,tt0054156,43026,Paris nous appartient,Paris nous appartient,fr,France,"paris, france, paranoia, femme fatale, expatriate, theater troupe, shakespearean actor, bohemians, immigrant life, multiple suicide, cold war era","Drame,Mystère,Thriller",1961,1961-12-13,120,0.0,0.0,6.635,6.7,2788
87,375,tt0054177,50785,Le petit soldat,Le Petit Soldat,fr,France,"french colonialism, algerian war (1954-62), anti-imperialism","Drame,Guerre",1963,1963-01-25,88,180000.0,0.0,9.135,7.1,8379
89,382,tt0054189,10363,Plein soleil,Plein soleil,fr,"France, Italy","sailboat, plan, dual identity, based on novel or book, police, poker, sailing, millionaire, french noir, forger","Crime,Drame,Thriller",1960,1960-03-10,118,0.0,0.0,15.402,7.7,21909
115,477,tt0054377,36878,Le testament d'Orphée ou ne me demandez pas pourquoi,Le testament d'Orphée,fr,France,"poet, biography, death","Biographie,Drame,Fantastique",1960,1960-02-18,79,0.0,0.0,10.628,7.2,3890
117,484,tt0054389,1818,Tirez sur le pianiste,Tirez sur le pianiste,fr,France,"based on novel or book, organized crime, pianist, french noir","Crime,Drame,Thriller",1960,1960-11-25,92,0.0,0.0,8.412,7.4,21195
121,490,tt0054407,29259,Le trou,Le trou,fr,"France, Italy","prison, escape, urination, warden, manhole, toothbrush, tunnel, hourglass, neo-noir","Crime,Drame,Histoire,Thriller",1960,1960-03-18,131,0.0,33187.0,13.245,8.5,21559
126,498,tt0054425,33336,Un taxi pour Tobrouk,Un taxi pour Tobrouk,fr,"Germany, France, Spain","world war ii, desert","Drame,Guerre,Histoire",1961,1961-05-09,95,0.0,0.0,7.799,7.2,2159
127,499,tt0054426,131836,Une aussi longue absence,Une aussi longue absence,fr,France,,"Drame,Mystère",1961,1961-05-17,94,0.0,0.0,3.644,6.9,1141
132,512,tt0054452,61711,La vérité,La vérité,fr,"France, Italy",,"Crime,Drame,Romance",1960,1960-11-02,127,0.0,0.0,9.269,7.6,4805
139,530,tt0054494,2546,Zazie dans le métro,Zazie dans le métro,fr,"France, Italy","metropolis, strike, paris, france, transvestism, subway, sightseeing, urban life, slapstick comedy, nouvelle vague","Comédie,Fantastique",1960,1960-10-28,93,0.0,0.0,7.889,6.9,7021
145,555,tt0054632,4024,L'année dernière à Marienbad,L'année dernière à Marienbad,fr,"France, Italy","hotel, amnesia, card game, extramarital affair, statue, chateau, nouvelle vague","Drame,Mystère,Romance",1961,1961-05-25,94,0.0,0.0,10.676,7.6,25816
157,606,tt0054734,59434,Le cave se rebiffe,Le cave se rebiffe,fr,"France, Italy","counterfeit, counterfeiter","Comédie,Crime",1961,1961-09-27,98,0.0,0.0,7.058,7.0,1474
159,611,tt0054745,84972,Chronique d'un été (Paris 1960),Chronique d'un été (Paris 1960),fr,France,"friendship, paris, france, cinema on cinema, saint-tropez, france, summer vacation, french colonialism, cinéma vérité, concentration camp survivor, working life, traumatized woman","Documentaire,Histoire",1961,1961-10-20,85,0.0,0.0,6.36,7.5,3767
171,646,tt0054821,20778,Le doulos,Le doulos,fr,France,"jazz singer or musician, betrayal, weasel, french noir","Crime,Drame,Thriller",1962,1962-12-13,108,0.0,0.0,9.665,7.7,12574
185,710,tt0054949,10421,La guerre des boutons,La Guerre des boutons,fr,France,"based on novel or book, parent child relationship, fight, tradition, village, gang, boys","Comédie,Drame,Famille",1962,1962-04-18,90,0.0,0.0,8.367,7.4,2918
