,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films_y,anneeSortie,nbVotes
0,nm0000001,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,1965.0,3683.0
1,nm0000002,0,0,0,0,0,2,0,5,0,10,1,1,0,0,1,0,6,3,0,0,5,0,1,11,1988.0,33276.0
2,nm0000003,3,0,0,2,0,9,0,1,0,10,0,0,0,0,1,0,1,10,0,0,0,0,4,17,1967.0,3919.0
3,nm0000004,2,0,0,1,0,6,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,6,1980.0,68854.0
4,nm0000006,0,0,0,0,0,2,0,1,0,4,0,0,0,0,0,0,1,3,0,0,1,0,0,5,1966.0,18657.0
5,nm0000008,5,0,0,3,0,5,0,6,0,18,0,1,3,2,1,0,3,6,0,0,7,0,3,23,1973.0,140635.0
6,nm0000009,4,0,0,3,4,2,0,3,0,23,0,1,5,7,2,0,3,5,2,0,7,0,0,25,1970.0,18306.0
7,nm0000010,0,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1967.0,12224.0
8,nm0000011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1961.0,1585.0
9,nm0000012,1,0,0,2,0,3,0,4,0,11,2,2,0,0,4,0,3,1,1,0,7,1,0,14,1969.0,9888.0
10,nm0000013,0,0,0,0,0,12,1,2,0,4,2,0,0,0,0,1,1,10,0,0,2,0,1,13,1964.0,5179.0
11,nm0000014,1,0,0,1,0,0,0,1,0,4,0,0,0,0,2,0,2,1,0,0,2,0,0,4,1967.0,8874.0
12,nm0000017,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1961.0,89932.0
13,nm0000018,5,0,0,9,1,5,0,4,0,22,2,1,5,3,3,0,3,8,4,0,8,0,10,32,1972.0,11819.0
