,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films,anneeSortie,nbVotes
0,nm0000005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1977.0,6563.0
1,nm0000008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1961.0,14074.0
2,nm0000018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1975.0,2547.0
3,nm0000019,0,0,0,2,1,11,0,0,0,14,0,8,0,1,1,2,1,2,0,0,0,0,0,15,1974.0,24088.0
4,nm0000032,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,2,1977.0,1528.0
5,nm0000033,0,0,0,0,0,2,0,3,0,7,0,0,0,0,3,0,4,2,0,0,6,0,0,7,1967.0,162902.0
6,nm0000037,1,0,0,1,0,4,2,0,1,1,1,0,0,0,0,2,0,2,0,0,0,0,1,5,1969.0,5956.0
7,nm0000040,0,0,0,3,1,2,0,2,0,8,0,0,4,1,1,0,2,2,2,0,2,0,0,9,1974.0,555423.0
8,nm0000041,4,0,0,0,0,3,0,2,0,11,0,1,3,2,0,0,1,0,0,0,4,0,0,11,1975.0,46138.0
9,nm0000044,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1974.0,1420.0
10,nm0000056,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1976.0,3310.0
11,nm0000069,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1965.0,2202.0
12,nm0000076,0,0,0,0,2,8,0,5,0,20,0,0,1,4,0,0,2,13,1,0,2,0,0,21,1972.0,13385.0
13,nm0000078,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1964.0,16318.0
14,nm0000080,0,0,0,0,0,1,0,1,1,3,0,0,0,1,0,0,1,0,0,0,1,0,0,4,1980.0,15748.0
15,nm0000086,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980.0,5377.0
16,nm0000091,3,0,0,2,0,5,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1985.0,13064.0
17,nm0000095,1,0,0,1,0,45,1,11,0,26,0,5,1,0,0,3,4,28,1,0,3,0,0,51,1995.0,68084.0
18,nm0000101,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1991.0,28528.0
19,nm0000102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2005.0,3452.0
20,nm0000104,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2002.0,4426.0
21,nm0000106,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2009.0,71212.0
22,nm0000108,11,0,4,8,2,4,0,4,1,7,3,7,1,2,0,1,1,2,4,1,6,0,0,20,2004.0,159062.0
23,nm0000110,2,0,0,2,3,6,2,5,0,16,1,2,1,2,2,2,5,9,1,0,5,0,0,19,2006.0,119852.0
24,nm0000114,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2000.0,13800.0
25,nm0000116,7,0,0,6,0,1,0,0,1,2,1,2,0,0,1,0,1,1,6,0,5,0,0,9,1997.0,749777.0
26,nm0000118,6,0,0,3,0,3,0,1,0,2,0,3,0,0,10,0,3,2,8,0,9,0,0,17,1987.0,118011.0
27,nm0000122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1967.0,7230.0
28,nm0000123,1,0,0,1,4,4,0,2,0,9,0,0,1,3,0,0,1,1,1,1,2,0,0,9,2013.0,90135.0
29,nm0000126,2,0,0,3,0,0,0,0,0,5,0,0,1,0,0,0,0,1,1,0,0,0,4,5,2008.0,99911.0
30,nm0000127,0,0,0,0,0,3,0,2,0,2,0,2,0,0,15,1,8,0,2,0,6,0,0,17,1992.0,101944.0
31,nm0000128,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2018.0,46870.0
32,nm0000134,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2000.0,140078.0
33,nm0000136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1997.0,11049.0
34,nm0000141,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2004.0,9999.0
