,nconst
0,nm0000212
1,nm0413168
2,nm0000630
3,nm0005227
10,nm0404158
11,nm0000634
12,nm0605923
13,nm0191870
14,nm0164050
21,nm0001258
22,nm0000081
23,nm0001225
24,nm0415591
31,nm0893341
32,nm0590452
33,nm0000901
34,nm0197950
41,nm0194742
42,nm0729153
43,nm0672744
44,nm0649598
51,nm0001088
52,nm0491928
53,nm0000587
54,nm0741394
61,nm0000008
62,nm0940946
63,nm0536167
64,nm0822972
71,nm0001782
72,nm0001782
73,nm0856187
74,nm0728938
82,nm0370144
83,nm0665902
84,nm0515193
85,nm0000277
92,nm0000063
93,nm0849447
94,nm0000564
95,nm0321407
102,nm0353916
103,nm0320758
104,nm0234767
105,nm0083910
112,nm0105482
113,nm0885098
114,nm0562831
115,nm0726777
123,nm0000901
124,nm0781029
125,nm0000419
132,nm0378517
133,nm0607507
134,nm0590398
135,nm0213619
142,nm0797531
143,nm0000052
144,nm0590452
145,nm0728938
152,nm0709704
153,nm0388155
154,nm0600911
155,nm0566478
162,nm0361697
163,nm0875362
164,nm0645422
165,nm0755401
172,nm0000078
173,nm0001847
174,nm0002131
175,nm0000811
182,nm0000277
183,nm0000765
184,nm0185954
185,nm0496866
192,nm0000493
193,nm0000511
194,nm0534045
195,nm0001827
202,nm0275213
203,nm0900143
204,nm0557159
205,nm0087017
212,nm0000072
213,nm0002131
214,nm0279472
215,nm0581277
222,nm0597816
223,nm0138987
224,nm0001012
225,nm0001989
232,nm0000052
233,nm0001012
234,nm0105482
235,nm0603761
242,nm0001471
243,nm0001471
244,nm0314778
245,nm0165667
253,nm0391062
254,nm0001509
255,nm0163939
256,nm0289376
263,nm0164967
264,nm0866995
265,nm0033962
266,nm0812453
273,nm0480942
274,nm0423332
275,nm0000804
276,nm0756756
283,nm0001088
284,nm0402558
285,nm0598289
286,nm0413528
293,nm0000069
294,nm0000511
295,nm0002001
296,nm0431139
303,nm0544786
304,nm0100186
305,nm0553349
306,nm0116526
313,nm0416228
