,Unnamed: 0,nconst,Nom,birthYear,deathYear,commeRealisateur,commeActeur
0,0,nm0000212,Meg Ryan,1961,\N,pas_de_film,"tt0035423,tt0090660,tt0093260,tt0094933,tt0095897,tt0098635,tt0099892,tt0099892,tt0099892,tt0101761,tt0105165,tt0106926,tt0108160,tt0110099,tt0111693,tt0113117,tt0115956,tt0118556,tt0118617,tt0120632,tt0128853,tt0199626,tt0228750,tt0312329,tt0419843,tt0430770,tt0780534,tt0848281,tt1133993"
1,1,nm0413168,Hugh Jackman,1968,\N,pas_de_film,"tt0035423,tt0120903,tt0120903,tt0244244,tt0244970,tt0290334,tt0290334,tt0338526,tt0366548,tt0376994,tt0376994,tt0414993,tt0414993,tt0414993,tt0424095,tt0433035,tt0455824,tt0457513,tt0458525,tt0458525,tt0482571,tt0800240,tt1083452,tt1392214,tt1430132,tt14458442,tt1446192,tt1485796,tt1707386,tt1823672,tt1877832,tt1877832,tt3272066,tt3315342,tt3315342,tt3332064,tt6263850,tt6348138,tt7074886,tt8206668"
2,2,nm0000630,Liev Schreiber,1967,\N,tt0404030,"tt0035423,tt0116041,tt0119891,tt0134084,tt0174856,tt0368008,tt0446755,tt0458525,tt0466909,tt0944835,tt1034303,tt1053424,tt1596345,tt1610525,tt1655416,tt1709143,tt1895587,tt2032557,tt2417712,tt4131800,tt7139936,tt9185066"
3,3,nm0005227,Breckin Meyer,1974,\N,pas_de_film,"tt0035423,tt0118925,tt0215129,tt0250687,tt0356634,tt0376108,tt0455499"
4,4,nm0404158,Walter Huston,1884,1950,pas_de_film,tt0038687
5,5,nm0000634,Peter Sellers,1925,1980,pas_de_film,"tt0052607,tt0054086,tt0054086,tt0054115,tt0054417,tt0056308,tt0056704,tt0057012,tt0057012,tt0057012,tt0057413,tt0058586,tt0058756,tt0059903,tt0060200,tt0061414,tt0061452,tt0062502,tt0063115,tt0063415,tt0064622,tt0066449,tt0072081,tt0074937,tt0075066,tt0078163,tt0078841,tt0079753,tt0079753,tt0079753"
6,6,nm0605923,Robert Morley,1908,1992,pas_de_film,"tt0052607,tt0056417,tt0057334,tt0057379,tt0057556,tt0058425,tt0058672,tt0060094,tt0061173,tt0065593,tt0067976,tt0078488,tt0094327,tt0061076"
7,7,nm0191870,Constance Cummings,1910,2005,pas_de_film,tt0052607
8,8,nm0164050,Jameson Clark,1907,1984,pas_de_film,tt0052607
9,9,nm0001258,James Garner,1928,2014,pas_de_film,"tt0052680,tt0054743,tt0055809,tt0057115,tt0057329,tt0057581,tt0057681,tt0057809,tt0057840,tt0058920,tt0059453,tt0060355,tt0060472,tt0061787,tt0064638,tt0065051,tt0066050,tt0067809,tt0069371,tt0082362,tt0084865,tt0096193,tt0110478,tt0117119,tt0186566,tt0279778,tt0332280,tt0482629"
