,tconst,nconst
0,tt0035423,nm0003506
1,tt0038687,
2,tt0052607,nm0187769
3,tt0052680,nm0678928
4,tt0052698,nm0767110
5,tt0052784,nm0327950
6,tt0052811,nm0319241
7,tt0052832,nm0001486
8,tt0052961,nm0690597
9,tt0052997,nm0213136
10,tt0053244,nm0712947
11,tt0053279,nm0006445
12,tt0053459,nm0290802
13,tt0053472,nm0000419
14,tt0053559,nm0145336
15,tt0053570,nm0682881
16,tt0053571,nm0002031
17,tt0053579,nm0654868
18,tt0053580,nm0000078
19,tt0053602,nm0337885
20,tt0053604,nm0000697
21,tt0053619,nm0000774
22,tt0053622,nm0542702
23,tt0053638,nm0304098
24,tt0053643,nm0006615
25,tt0053644,nm0001471
26,tt0053645,nm0591486
27,tt0053651,nm0880618
28,tt0053666,nm0001031
29,tt0053677,nm0279807
30,tt0053690,nm0485943
31,tt0053696,nm0402161
32,tt0053699,nm0858873
33,tt0053715,nm0542649
34,tt0053716,nm0850895
35,tt0053717,nm0370868
36,tt0053719,nm0610303
37,tt0053724,nm0274659
38,tt0053729,nm0091430
39,tt0053740,nm0521334
40,tt0053742,nm0678928
41,tt0053779,nm0000019
42,tt0053793,nm0112218
43,tt0053796,nm0724798
44,tt0053802,nm0671862
45,tt0053804,nm0695937
46,tt0053810,nm0291035
47,tt0053825,nm0796923
48,tt0053841,nm0733476
49,tt0053848,nm0851537
50,tt0053849,nm0599910
51,tt0053877,nm0002045
52,tt0053879,nm0612322
53,tt0053882,nm0792042
54,tt0053899,nm0792450
55,tt0053900,nm0346436
56,tt0053901,nm0439597
57,tt0053902,nm0002030
58,tt0053917,nm0591486
59,tt0053925,nm0000339
60,tt0053946,nm0006452
61,tt0053957,nm0789520
62,tt0053967,nm0000320
63,tt0053994,nm0829038
64,tt0054016,nm0831720
65,tt0054022,nm0002030
66,tt0054033,nm0000339
67,tt0054037,nm0635554
68,tt0054038,nm0000740
69,tt0054042,nm0310449
70,tt0054047,nm0836328
71,tt0054049,nm0038895
72,tt0054067,nm0000878
73,tt0054084,nm0588183
74,tt0054086,nm0002190
75,tt0054091,nm0111656
76,tt0054095,nm0542702
77,tt0054099,nm0275034
78,tt0054102,nm0049307
79,tt0054102,nm0742341
80,tt0054115,nm0347086
81,tt0054127,nm0368871
82,tt0054130,nm0000774
83,tt0054135,nm0587277
84,tt0054144,nm0621540
85,tt0054156,nm0729626
86,tt0054167,nm0003836
87,tt0054172,nm0796645
88,tt0054177,nm0000419
89,tt0054188,nm0910199
90,tt0054189,nm0167496
91,tt0054197,nm0330456
92,tt0054209,nm0828562
93,tt0054215,nm0000033
94,tt0054225,nm0958801
95,tt0054230,nm0612322
96,tt0054243,nm0091430
97,tt0054248,nm0899581
98,tt0054269,nm0718554
99,tt0054279,nm0357607
100,tt0054286,nm0651915
101,tt0054292,nm0000406
102,tt0054295,nm0368871
103,tt0054296,nm0445650
104,tt0054310,nm0318150
105,tt0054325,nm0840671
106,tt0054326,nm0002153
107,tt0054331,nm0000040
108,tt0054343,nm0467396
109,tt0054345,nm0703689
110,tt0054353,nm0003593
111,tt0054357,nm0002175
112,tt0054358,nm0279807
113,tt0054366,nm0651915
114,tt0054367,nm0517597
115,tt0054371,nm0000485
116,tt0054377,nm0168413
117,tt0054387,nm0657162
118,tt0054389,nm0000076
119,tt0054390,nm0059106
120,tt0054395,nm0901138
121,tt0054403,nm0400731
122,tt0054407,nm0065442
123,tt0054412,nm0623768
124,tt0054413,nm0173728
125,tt0054416,nm0279807
126,tt0054417,nm0206560
127,tt0054425,nm0478800
128,tt0054426,nm0173213
129,tt0054428,nm0001379
130,tt0054442,nm0952737
131,tt0054443,nm0727211
132,tt0054446,nm0851537
133,tt0054452,nm0167241
134,tt0054453,nm0614645
135,tt0054460,nm0000041
136,tt0054469,nm0505610
137,tt0054473,nm0796645
138,tt0054476,nm0001415
139,tt0054483,nm0703689
140,tt0054494,nm0001501
141,tt0054594,nm0829038
142,tt0054599,nm0001596
143,tt0054601,nm0542702
144,tt0054614,nm0213136
145,tt0054615,nm0030917
146,tt0054632,nm0720297
147,tt0054640,nm0677880
148,tt0054642,nm0657162
149,tt0054649,nm0232902
150,tt0054652,nm0000791
151,tt0054653,nm0588183
152,tt0054668,nm0882190
153,tt0054687,nm0056191
154,tt0054692,nm0851537
155,tt0054698,nm0001175
156,tt0054709,nm0408076
157,tt0054731,nm0492974
158,tt0054734,nm0335093
159,tt0054743,nm0943758
160,tt0054745,nm0602841
161,tt0054745,nm0745541
162,tt0054749,nm0001120
163,tt0054756,nm0001466
164,tt0054757,nm0002031
165,tt0054759,nm0612322
166,tt0054763,nm0164999
167,tt0054777,nm0279807
168,tt0054790,nm0346436
169,tt0054795,nm0001603
